Название,Дата,Место,Жанр,Ссылка
Женский стендап,30 марта в 19:00," Crocus City Hall",Юмор,https://www.afisha.ru/concert/zhenskiy-stendap-2236003/
Женский StandUp концерт,Март," На 11 площадках",Юмор,https://www.afisha.ru/concert/zhenskiy-standup-koncert-2213953/
StandUp & Action,Март апрель," На 3 площадках",Юмор,https://www.afisha.ru/concert/standup-action-ctendap-dzhaz-koncert-2149751/
Stand Up от опытных комиков,Март апрель," На 3 площадках",Юмор,https://www.afisha.ru/concert/stand-up-ot-opytnyh-komikov-2122999/
Stand-Up + Jazz (два концерта в один вечер),Март апрель," На 6 площадках",Юмор,https://www.afisha.ru/concert/stand-up-jazz-dva-koncerta-v-odin-vecher-2149244/
Мария Маркова,Апрель - октябрь," На 5 площадках",Юмор,https://www.afisha.ru/concert/mariya-markova-2232504/
Женский Stand-Up,Март - май," Руки вверх!",Юмор,https://www.afisha.ru/concert/zhenskiy-stand-up-2225340/
Чёрный Stand Up Концерт,Март," На 6 площадках",Юмор,https://www.afisha.ru/concert/chyorniy-stand-up-koncert-2213989/
Большой стендап от топ-комиков каждый день,Март апрель," На 5 площадках",Юмор,https://www.afisha.ru/concert/bolshoy-stendap-ot-top-komikov-kazhdiy-den-2157112/
Big Stand Up,Март апрель," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/big-stand-up-2150680/
Stand up от комиков из TV и Youtube проектов,Март апрель," На 3 площадках",Юмор,https://www.afisha.ru/concert/stand-up-ot-komikov-iz-tv-i-youtube-proektov-2127924/
Стендап-шоу «Девчата»,Март апрель," На 2 площадках",Юмор,https://www.afisha.ru/concert/stendap-shou-devchata-2213842/
Большой Stand Up в кинотеатре,Март," На 2 площадках",Юмор,https://www.afisha.ru/concert/bolshoy-stand-up-v-kinoteatre-2213984/
Алексей Щербаков,27 марта в 19:00," Парк «Экстрим»",Юмор,https://www.afisha.ru/concert/aleksey-shcherbakov-2236552/
Stand Up: Андрей Бебуришвили,1 апреля в 20:00," Фольклорный центр «Москва»",Юмор,https://www.afisha.ru/concert/stand-up-andrey-beburishvili-2156940/
Гурам Амарян. Сольный концерт,Март - май," Coin Hall",Юмор,https://www.afisha.ru/concert/guram-amaryan-solniy-koncert-2232905/
Алексей Щербаков,29 марта в 19:00," ДК текстильщиков",Юмор,https://www.afisha.ru/concert/aleksey-shcherbakov-2248503/
Главный стендап,29 марта 6 и 13 апреля," Зал Pulsar",Юмор,https://www.afisha.ru/concert/glavniy-stendap-2236171/
Алексей Щербаков,28 марта в 19:00," ДК «Октябрь»",Юмор,https://www.afisha.ru/concert/aleksey-shcherbakov-2238188/
Карина Мейханаджян и Белла - Стендап концерт,24 марта в 20:30," КДК «Большевик»",Юмор,https://www.afisha.ru/concert/karina-meyhanadzhyan-i-bella-stendap-koncert-2237817/
Стендап в театрах Москвы,Март - май," На 2 площадках",Юмор,https://www.afisha.ru/concert/stendap-v-teatrah-moskvy-2189342/
Женский Stand-Up + Jazz (два концерта в один вечер),Март - май," На 4 площадках",Юмор,https://www.afisha.ru/concert/zhenskiy-stand-up-jazz-dva-koncerta-v-odin-vecher-2217762/
Карина Мейханаджян - сольный концерт,23 марта в 20:00," Московский продюсерский центр",Юмор,https://www.afisha.ru/concert/karina-meyhanadzhyan-solniy-koncert-2248409/
Шоу Женский стендап,20 и 21 апреля," На 2 площадках",Юмор,https://www.afisha.ru/concert/shou-zhenskiy-stendap-2210126/
Женский стендап,30 марта в 19:00," Crocus City Hall",Юмор,https://www.afisha.ru/concert/zhenskiy-stendap-2236003/
Женский StandUp концерт,Март," На 11 площадках",Юмор,https://www.afisha.ru/concert/zhenskiy-standup-koncert-2213953/
StandUp & Action,Март апрель," На 3 площадках",Юмор,https://www.afisha.ru/concert/standup-action-ctendap-dzhaz-koncert-2149751/
Stand Up от опытных комиков,Март апрель," На 3 площадках",Юмор,https://www.afisha.ru/concert/stand-up-ot-opytnyh-komikov-2122999/
Stand-Up + Jazz (два концерта в один вечер),Март апрель," На 6 площадках",Юмор,https://www.afisha.ru/concert/stand-up-jazz-dva-koncerta-v-odin-vecher-2149244/
Мария Маркова,Апрель - октябрь," На 5 площадках",Юмор,https://www.afisha.ru/concert/mariya-markova-2232504/
Женский Stand-Up,Март - май," Руки вверх!",Юмор,https://www.afisha.ru/concert/zhenskiy-stand-up-2225340/
Чёрный Stand Up Концерт,Март," На 6 площадках",Юмор,https://www.afisha.ru/concert/chyorniy-stand-up-koncert-2213989/
Большой стендап от топ-комиков каждый день,Март апрель," На 5 площадках",Юмор,https://www.afisha.ru/concert/bolshoy-stendap-ot-top-komikov-kazhdiy-den-2157112/
Big Stand Up,Март апрель," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/big-stand-up-2150680/
Stand up от комиков из TV и Youtube проектов,Март апрель," На 3 площадках",Юмор,https://www.afisha.ru/concert/stand-up-ot-komikov-iz-tv-i-youtube-proektov-2127924/
Стендап-шоу «Девчата»,Март апрель," На 2 площадках",Юмор,https://www.afisha.ru/concert/stendap-shou-devchata-2213842/
Большой Stand Up в кинотеатре,Март," На 2 площадках",Юмор,https://www.afisha.ru/concert/bolshoy-stand-up-v-kinoteatre-2213984/
Алексей Щербаков,27 марта в 19:00," Парк «Экстрим»",Юмор,https://www.afisha.ru/concert/aleksey-shcherbakov-2236552/
Stand Up: Андрей Бебуришвили,1 апреля в 20:00," Фольклорный центр «Москва»",Юмор,https://www.afisha.ru/concert/stand-up-andrey-beburishvili-2156940/
Гурам Амарян. Сольный концерт,Март - май," Coin Hall",Юмор,https://www.afisha.ru/concert/guram-amaryan-solniy-koncert-2232905/
Алексей Щербаков,29 марта в 19:00," ДК текстильщиков",Юмор,https://www.afisha.ru/concert/aleksey-shcherbakov-2248503/
Главный стендап,29 марта 6 и 13 апреля," Зал Pulsar",Юмор,https://www.afisha.ru/concert/glavniy-stendap-2236171/
Алексей Щербаков,28 марта в 19:00," ДК «Октябрь»",Юмор,https://www.afisha.ru/concert/aleksey-shcherbakov-2238188/
Карина Мейханаджян и Белла - Стендап концерт,24 марта в 20:30," КДК «Большевик»",Юмор,https://www.afisha.ru/concert/karina-meyhanadzhyan-i-bella-stendap-koncert-2237817/
Стендап в театрах Москвы,Март - май," На 2 площадках",Юмор,https://www.afisha.ru/concert/stendap-v-teatrah-moskvy-2189342/
Женский Stand-Up + Jazz (два концерта в один вечер),Март - май," На 4 площадках",Юмор,https://www.afisha.ru/concert/zhenskiy-stand-up-jazz-dva-koncerta-v-odin-vecher-2217762/
Карина Мейханаджян - сольный концерт,23 марта в 20:00," Московский продюсерский центр",Юмор,https://www.afisha.ru/concert/karina-meyhanadzhyan-solniy-koncert-2248409/
Шоу Женский стендап,20 и 21 апреля," На 2 площадках",Юмор,https://www.afisha.ru/concert/shou-zhenskiy-stendap-2210126/
Павел Дедищев. StandUp. Сольный концерт,Март - май," Club №1",Юмор,https://www.afisha.ru/concert/pavel-dedishchev-standup-solniy-koncert-2152968/
Стендап на Таганке,Март - май," На 2 площадках",Юмор,https://www.afisha.ru/concert/stendap-na-taganke-2249358/
Алексей Щербаков,18 апреля в 19:00," ДК «Сатурн»",Юмор,https://www.afisha.ru/concert/aleksey-shcherbakov-2248327/
Супер проверка комиков с ТВ,Март апрель," На 4 площадках",Юмор,https://www.afisha.ru/concert/super-proverka-komikov-s-tv-2160866/
Жесткий стендап,Март апрель," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/zhestkiy-stendap-2150688/
Стендап девушки,Март - июнь," Бобры и утки",Юмор,https://www.afisha.ru/concert/stendap-devushki-2216480/
Женский Stand-Up,Март апрель," Руки вверх!",Юмор,https://www.afisha.ru/concert/zhenskiy-stand-up-2222748/
Алексей Щербаков,24 мая в 19:00," ДК «Вперед»",Юмор,https://www.afisha.ru/concert/aleksey-shcherbakov-2248369/
Артем Винокур. StandUp. Сольный концерт,Март - май," Club №1",Юмор,https://www.afisha.ru/concert/artem-vinokur-standup-solniy-koncert-2186846/
Stand Up концерт Артёма Калайджяна в Москве,30 апреля в 19:00," ЦДКЖ",Юмор,https://www.afisha.ru/concert/stand-up-koncert-artyoma-kalaydzhyana-v-moskve-2233789/
Open mic: опытные комики,Март апрель," На 4 площадках",Юмор,https://www.afisha.ru/concert/open-mic-opytnye-komiki-2218449/
Разгоны Офлайн,Март апрель," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/razgony-ofliyn-2150697/
Новое и лучшее: Иван Абрамов,20 апреля в 19:00," КДЦ «Тимоново»",Юмор,https://www.afisha.ru/concert/novoe-i-luchshee-ivan-abramov-2237001/
Что у вас случилось?,Март апрель," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/chto-u-vas-sluchilos-2150694/
Валентин Сидоров,29 марта в 19:30," ДК им. Карла Маркса",Юмор,https://www.afisha.ru/concert/valentin-sidorov-2236592/
Сауле Юсупова Сольный концерт,14 апреля в 21:40," Coin Hall",Юмор,https://www.afisha.ru/concert/saule-yusupova-solniy-koncert-2237949/
Валентин Сидоров,30 марта в 19:00," ДК «Саввино»",Юмор,https://www.afisha.ru/concert/valentin-sidorov-2236826/
Ольга Малащенко,23 марта в 19:00," КСЦ «Мечта»",Юмор,https://www.afisha.ru/concert/olga-malashchenko-2234352/
Stand Up | Секретный состав,23 и 30 марта," Standup Brothers",Юмор,https://www.afisha.ru/concert/stand-up-sekretniy-sostav-2124874/
Алексей Стахович - сольный концерт,6 и 20 апреля," КДК «Большевик»",Юмор,https://www.afisha.ru/concert/aleksey-stahovich-solniy-koncert-2226966/
Девичник Stand-Up Show,Март - май," Coin Hall",Юмор,https://www.afisha.ru/concert/devichnik-stand-up-show-2160216/
Вечера комедии,Март апрель," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/vechera-komedii-2188976/
Андрей Атлас - стендап концерт,Март апрель," КДК «Большевик»",Юмор,https://www.afisha.ru/concert/andrey-atlas-stendap-koncert-2231516/
Надя Джабраилова. Stand Up,21 марта в 20:00," Фольклорный центр «Москва»",Юмор,https://www.afisha.ru/concert/nadya-dzhabrailova-stand-up-2237353/
Stand Up,28 марта в 19:00," Руки вверх!",Юмор,https://www.afisha.ru/concert/stand-up-2248845/
Женский стендап-концерт,Март - май," На 3 площадках",Юмор,https://www.afisha.ru/concert/zhenskiy-stendap-koncert-2213857/
Взрослый стендап,Март - июнь," Ferragosto",Юмор,https://www.afisha.ru/concert/vzrosliy-stendap-2221583/
Standup «Лично»: Юлия Ахмедова,26 марта в 19:00," ДК Ступино",Юмор,https://www.afisha.ru/concert/standup-lichno-yuliya-ahmedova-2236578/
Стендап для свидания,Март - май," Solar",Юмор,https://www.afisha.ru/concert/stendap-dlya-svidaniya-2223522/
Съёмки Stand Up от StandUp_Msk,31 марта," Fix Kitchen",Юмор,https://www.afisha.ru/concert/syomki-stand-up-ot-standup-msk-2230439/
Кирилл Мазур,5 апреля в 21:00," Театр музыки и шоу «III РИМ»",Юмор,https://www.afisha.ru/concert/kirill-mazur-2237754/
Женский Stand-Up,Март - май," Руки вверх!",Юмор,https://www.afisha.ru/concert/zhenskiy-stand-up-2227061/
Большой Stand Up концерт,18 21 и 25 марта," Standup Brothers",Юмор,https://www.afisha.ru/concert/bolshoy-stand-up-koncert-2160423/
Стас Старовойтов,11 апреля в 19:00," Досуговый центр «Октябрь»",Юмор,https://www.afisha.ru/concert/stas-starovoytov-2249330/
Большой чёрный стендап концерт,Март апрель," Standup Café",Юмор,https://www.afisha.ru/concert/bolshoy-chyorniy-stendap-koncert-2187172/
Стендап в темноте,Март - май," На 3 площадках",Юмор,https://www.afisha.ru/concert/stendap-v-temnote-2226573/
Никита Шевчук. Сольный концерт,Март - май," Coin Hall",Юмор,https://www.afisha.ru/concert/nikita-shevchuk-solniy-koncert-2232290/
Темный стендап,Март - июнь," Бобры и утки",Юмор,https://www.afisha.ru/concert/temniy-stendap-2224789/
StandUp «Лично»: Юлия Ахмедова,27 апреля в 20:00," ДК «Дружба»",Юмор,https://www.afisha.ru/concert/standup-lichno-yuliya-ahmedova-2232847/
Главная проверка материала,Март," Punch & Judy",Юмор,https://www.afisha.ru/concert/glavnaya-proverka-materiala-2217249/
Константин Бутаков. Сольный концерт,Март - май," Coin Hall",Юмор,https://www.afisha.ru/concert/konstantin-butakov-solniy-koncert-2221352/
Stand Up в Патриках,Март апрель," Stand Up Патрики",Юмор,https://www.afisha.ru/concert/stand-up-v-patrikah-2214224/
Ольга Малащенко,15 мая в 20:00," Фольклорный центр «Москва»",Юмор,https://www.afisha.ru/concert/olga-malashchenko-2211024/
Тимур Джанкезов Сольный концерт,22 марта и 5 апреля," Coin Hall",Юмор,https://www.afisha.ru/concert/timur-dzhankezov-solniy-koncert-2231529/
Женский Stand Up,Март," Petter",Юмор,https://www.afisha.ru/concert/zhenskiy-stand-up-2249646/
Женщины-комики,Март апрель," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/zhenshchiny-komiki-2150687/
Евгений Чебатков. StandUp. Проверочный концерт,29 марта в 18:30," Club №1",Юмор,https://www.afisha.ru/concert/evgeniy-chebatkov-standup-proverochniy-koncert-2226470/
Стас Старовойтов Stand Up концерт,29 марта в 22:30," Coin Hall",Юмор,https://www.afisha.ru/concert/stas-starovoytov-stand-up-koncert-2226322/
Женский Stand-up на Арбате,Март - май," Евгенич",Юмор,https://www.afisha.ru/concert/zhenskiy-stand-up-na-arbate-2222080/
Валентин Сидоров,21 марта в 19:30," ДК «Мир»",Юмор,https://www.afisha.ru/concert/valentin-sidorov-2236564/
Стендап комики,Март апрель," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/stendap-komiki-2218311/
Самые известные комики,Март апрель," Stand Up Патрики",Юмор,https://www.afisha.ru/concert/samye-izvestnye-komiki-2214237/
Stand Up,Март - май," Ритм-блюз",Юмор,https://www.afisha.ru/concert/stand-up-2216507/
Женская стендап. Проверка материала,18 20 и 25 марта," На 2 площадках",Юмор,https://www.afisha.ru/concert/zhenskaya-stendap-proverka-materiala-2215386/
